timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,Power,Energy
2024/07/22 08:56:14,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.99, 'cillium2': 0.77}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0}","{'cillium1': 8.51, 'cillium2': 2.79}","{'cillium1': 0.15, 'cillium2': 0}",80,81.1
2024/07/22 08:56:30,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.72, 'cillium2': 0.84}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0}","{'cillium1': 8.56, 'cillium2': 2.79}","{'cillium1': 0.15, 'cillium2': 0}",80,81.1
2024/07/22 08:56:45,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 7.49, 'cillium2': 0.75}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0}","{'cillium1': 8.5, 'cillium2': 2.79}","{'cillium1': 0.15, 'cillium2': 0}",80,81.1
2024/07/22 08:57:01,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 7.87, 'cillium2': 4.48}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 10.32, 'cillium2': 4.79}","{'cillium1': 1.22, 'cillium2': 4.29}",100,81.1
2024/07/22 08:57:16,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.21, 'cillium2': 9.47}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.93, 'cillium2': 6.26}","{'cillium1': 1.22, 'cillium2': 4.29}",80,81.1
2024/07/22 08:57:32,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.28, 'cillium2': 14.56}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.59, 'cillium2': 6.37}","{'cillium1': 1.22, 'cillium2': 4.29}",80,81.1
2024/07/22 08:57:47,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.89, 'cillium2': 15.91}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.34, 'cillium2': 4.58}","{'cillium1': 1.22, 'cillium2': 4.29}",100,81.1
2024/07/22 08:58:03,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.23, 'cillium2': 15.92}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.02, 'cillium2': 6.14}","{'cillium1': 1.22, 'cillium2': 4.29}",100,81.1
2024/07/22 08:58:18,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.27, 'cillium2': 15.88}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 8.92, 'cillium2': 5.25}","{'cillium1': 1.22, 'cillium2': 4.29}",80,81.1
2024/07/22 08:58:34,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.78, 'cillium2': 15.95}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 8.7, 'cillium2': 5.57}","{'cillium1': 1.22, 'cillium2': 4.29}",80,81.1
2024/07/22 08:58:49,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.89, 'cillium2': 16.04}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 10.19, 'cillium2': 7.84}","{'cillium1': 1.22, 'cillium2': 4.29}",100,81.1
2024/07/22 08:59:05,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.93, 'cillium2': 15.87}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.63, 'cillium2': 6.41}","{'cillium1': 1.22, 'cillium2': 4.29}",80,81.1
2024/07/22 08:59:20,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.9, 'cillium2': 15.96}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.46, 'cillium2': 5.67}","{'cillium1': 1.22, 'cillium2': 4.29}",80,81.1
2024/07/22 08:59:36,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.92, 'cillium2': 15.86}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.28, 'cillium2': 5.68}","{'cillium1': 1.22, 'cillium2': 4.29}",90,81.1
2024/07/22 08:59:51,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.13, 'cillium2': 15.96}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.16, 'cillium2': 6.67}","{'cillium1': 1.22, 'cillium2': 4.29}",90,81.1
2024/07/22 09:00:07,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.83, 'cillium2': 15.88}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 9.12, 'cillium2': 6.62}","{'cillium1': 1.22, 'cillium2': 4.29}",100,81.1
2024/07/22 09:00:22,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 12.51, 'cillium2': 16.02}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.3, 'cillium2': 0.4}","{'cillium1': 10.23, 'cillium2': 5.49}","{'cillium1': 1.22, 'cillium2': 4.29}",90,81.1
