timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,Power,Energy
2024/07/22 06:21:10,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.63, 'cillium3': 0.69, 'cillium2': 0.71}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium1': 8.21, 'cillium3': 3.0, 'cillium2': 2.43}","{'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",110,80.7
2024/07/22 06:21:25,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.44, 'cillium3': 0.73, 'cillium2': 0.77}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium1': 8.2, 'cillium3': 3.0, 'cillium2': 2.43}","{'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",110,80.7
2024/07/22 06:21:41,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.29, 'cillium3': 0.73, 'cillium2': 0.79}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium1': 8.16, 'cillium3': 2.99, 'cillium2': 2.41}","{'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",110,80.7
2024/07/22 06:21:56,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.55, 'cillium3': 0.73, 'cillium2': 0.78}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium1': 8.14, 'cillium3': 3.0, 'cillium2': 2.42}","{'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",100,80.7
2024/07/22 06:22:12,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 6.43, 'cillium3': 2.53, 'cillium2': 1.92}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0.3, 'cillium2': 0.2}","{'cillium1': 8.18, 'cillium3': 5.27, 'cillium2': 4.4}","{'cillium1': 0.15, 'cillium3': 3.22, 'cillium2': 2.15}",120,80.7
2024/07/22 06:22:27,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 6.45, 'cillium3': 6.28, 'cillium2': 4.43}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0.3, 'cillium2': 0.2}","{'cillium1': 8.18, 'cillium3': 4.6, 'cillium2': 4.11}","{'cillium1': 0.15, 'cillium3': 3.22, 'cillium2': 2.15}",120,80.7
2024/07/22 06:22:43,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 6.38, 'cillium3': 10.09, 'cillium2': 6.94}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0.3, 'cillium2': 0.2}","{'cillium1': 8.18, 'cillium3': 5.89, 'cillium2': 4.07}","{'cillium1': 0.15, 'cillium3': 3.22, 'cillium2': 2.15}",120,80.7
2024/07/22 06:22:58,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.45, 'cillium3': 12.01, 'cillium2': 8.32}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0.3, 'cillium2': 0.2}","{'cillium1': 8.18, 'cillium3': 6.98, 'cillium2': 4.1}","{'cillium1': 0.15, 'cillium3': 3.22, 'cillium2': 2.15}",120,80.7
2024/07/22 06:23:14,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.38, 'cillium3': 12.06, 'cillium2': 8.37}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0.3, 'cillium2': 0.2}","{'cillium1': 8.17, 'cillium3': 4.65, 'cillium2': 3.83}","{'cillium1': 0.15, 'cillium3': 3.22, 'cillium2': 2.15}",120,80.7
2024/07/22 06:23:29,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.26, 'cillium3': 11.99, 'cillium2': 8.36}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0.3, 'cillium2': 0.2}","{'cillium1': 8.14, 'cillium3': 4.71, 'cillium2': 4.12}","{'cillium1': 0.15, 'cillium3': 3.22, 'cillium2': 2.15}",120,80.7
