timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,Power,Energy
2024/07/22 07:43:23,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.62, 'cillium2': 0.94}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0}","{'cillium1': 8.72, 'cillium2': 2.73}","{'cillium1': 0.15, 'cillium2': 0}",90,80.9
2024/07/22 07:43:39,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.55, 'cillium2': 0.94}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0}","{'cillium1': 8.72, 'cillium2': 2.73, 'cillium4': 2.35}","{'cillium1': 0.15, 'cillium2': 0}",110,80.9
2024/07/22 07:43:55,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.46, 'cillium2': 0.87, 'cillium4': 42.85}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium1': 8.13, 'cillium2': 2.72, 'cillium4': 2.37}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}",120,80.9
2024/07/22 07:44:10,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 7.77, 'cillium2': 2.95, 'cillium4': 19.34}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0.3}","{'cillium1': 8.0, 'cillium2': 4.22, 'cillium4': 4.89}","{'cillium1': 0.15, 'cillium2': 2.15, 'cillium4': 3.22}",120,80.9
2024/07/22 07:44:25,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 6.86, 'cillium2': 5.57, 'cillium4': 5.81}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0.3}","{'cillium1': 8.03, 'cillium2': 5.23, 'cillium4': 6.76}","{'cillium1': 0.15, 'cillium2': 2.15, 'cillium4': 3.22}",110,80.9
2024/07/22 07:44:41,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 6.1, 'cillium2': 8.09, 'cillium4': 9.63}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0.3}","{'cillium1': 7.91, 'cillium2': 5.11, 'cillium4': 3.88}","{'cillium1': 0.15, 'cillium2': 2.15, 'cillium4': 3.22}",120,80.9
2024/07/22 07:44:56,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.37, 'cillium2': 8.41, 'cillium4': 11.71}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0.3}","{'cillium1': 7.91, 'cillium2': 5.06, 'cillium4': 4.94}","{'cillium1': 0.15, 'cillium2': 2.15, 'cillium4': 3.22}",110,80.9
2024/07/22 07:45:12,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.49, 'cillium2': 8.37, 'cillium4': 11.75}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0.3}","{'cillium1': 7.82, 'cillium2': 5.0, 'cillium4': 4.16}","{'cillium1': 0.15, 'cillium2': 2.15, 'cillium4': 3.22}",110,80.9
2024/07/22 07:45:27,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.9, 'cillium2': 8.41, 'cillium4': 11.76}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0.3}","{'cillium1': 7.8, 'cillium2': 4.83, 'cillium4': 4.42}","{'cillium1': 0.15, 'cillium2': 2.15, 'cillium4': 3.22}",120,80.9
2024/07/22 07:45:43,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 6.0, 'cillium2': 8.41, 'cillium4': 11.71}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0.3}","{'cillium1': 7.79, 'cillium2': 5.93, 'cillium4': 6.34}","{'cillium1': 0.15, 'cillium2': 2.15, 'cillium4': 3.22}",120,80.9
