timestamp,active_node_status,power_usage,predicted_power_usage
2024/08/11 09:28:09,3,240,4864.348
2024/08/11 09:28:15,3,230,4814.2817
2024/08/11 09:28:20,3,230,4837.151
2024/08/11 09:28:25,3,230,4857.7666
2024/08/11 09:28:31,3,230,4837.977
2024/08/11 09:28:36,3,300,5284.924
2024/08/11 09:28:42,3,300,6013.765
2024/08/11 09:28:47,3,300,5936.0146
2024/08/11 09:28:52,3,300,5958.359
2024/08/11 09:28:58,3,300,5904.97
2024/08/11 09:29:03,3,320,5881.8774
2024/08/11 09:29:08,3,300,5895.553
2024/08/11 09:29:14,3,300,5850.194
2024/08/11 09:29:19,3,300,5874.827
2024/08/11 09:29:24,3,300,5915.4478
2024/08/11 09:29:30,3,300,5880.3193
2024/08/11 09:29:35,3,320,5876.178
2024/08/11 09:29:41,3,320,5890.412
2024/08/11 09:29:46,3,300,5866.6616
2024/08/11 09:29:51,3,300,5896.2817
2024/08/11 09:29:57,3,320,5891.308
2024/08/11 09:30:02,3,300,5846.2017
2024/08/11 09:30:08,3,300,5882.989
2024/08/11 09:30:13,3,300,5881.3145
2024/08/11 09:30:18,3,300,5850.7134
2024/08/11 09:30:24,3,300,5918.924
2024/08/11 09:30:29,3,300,5896.5786
2024/08/11 09:30:34,3,300,5870.547
2024/08/11 09:30:40,3,300,5894.168
2024/08/11 09:30:45,3,300,5897.947
2024/08/11 09:30:51,3,300,5877.158
2024/08/11 09:30:56,3,300,5880.706
2024/08/11 09:31:01,3,300,5877.264
2024/08/11 09:31:07,3,300,5878.3657
2024/08/11 09:31:12,3,300,5883.436
2024/08/11 09:31:18,3,300,5862.369
2024/08/11 09:31:23,3,300,5885.9263
2024/08/11 09:31:28,3,300,5918.8267
2024/08/11 09:31:34,3,300,5874.907
2024/08/11 09:31:39,3,300,5872.879
2024/08/11 09:31:44,3,300,5867.9497
2024/08/11 09:31:50,3,300,5878.5303
2024/08/11 09:31:55,3,300,5867.8916
2024/08/11 09:32:00,3,300,5863.8545
2024/08/11 09:32:06,3,300,5901.576
2024/08/11 09:32:11,3,300,5936.7817
2024/08/11 09:32:17,3,300,5878.2075
2024/08/11 09:32:22,3,300,5842.573
2024/08/11 09:32:28,3,300,5888.1465
2024/08/11 09:32:33,3,300,5902.4365
2024/08/11 09:32:39,3,300,5887.3477
2024/08/11 09:32:44,3,300,5893.229
2024/08/11 09:32:49,3,300,5879.1426
2024/08/11 09:32:55,3,300,5863.4673
2024/08/11 09:33:00,3,300,5867.8555
2024/08/11 09:33:05,3,300,5924.616
2024/08/11 09:33:11,3,300,5871.8345
2024/08/11 09:33:16,3,300,5888.612
2024/08/11 09:33:22,3,300,5900.611
2024/08/11 09:33:27,3,300,5803.388
2024/08/11 09:33:32,3,300,5812.491
2024/08/11 09:33:38,3,300,5696.136
2024/08/11 09:33:43,3,300,5518.2905
2024/08/11 09:33:49,3,300,5404.225
2024/08/11 09:33:54,3,300,5411.243
2024/08/11 09:33:59,3,300,5440.492
2024/08/11 09:34:05,3,300,5393.1304
2024/08/11 09:34:10,3,300,5395.2134
2024/08/11 09:34:15,3,300,5414.132
2024/08/11 09:34:21,3,300,5403.162
2024/08/11 09:34:26,3,300,5409.159
2024/08/11 09:34:32,3,300,5411.685
2024/08/11 09:34:37,3,300,5374.3433
2024/08/11 09:34:42,3,300,5375.6777
2024/08/11 09:34:48,3,300,5432.8853
2024/08/11 09:34:53,3,300,5435.312
2024/08/11 09:34:58,3,300,5406.4287
2024/08/11 09:35:04,3,300,5389.5947
2024/08/11 09:35:09,3,300,5392.9937
2024/08/11 09:35:15,3,320,5416.3164
2024/08/11 09:35:20,3,300,5414.4014
2024/08/11 09:35:25,3,300,5364.28
2024/08/11 09:35:31,3,300,5437.6855
2024/08/11 09:35:36,3,300,5402.518
2024/08/11 09:35:42,3,300,5378.412
2024/08/11 09:35:47,3,300,5397.801
2024/08/11 09:35:52,3,300,5400.118
2024/08/11 09:35:58,3,300,5399.4883
2024/08/11 09:36:03,3,300,5416.7925
